"nama","genre","asal"
"Putri Ayu Silaen","http://id.dbpedia.org/resource/Pop","Kota Sibolga, Indonesia"
"Putri Ayu Silaen","http://id.dbpedia.org/resource/Seriosa","Kota Sibolga, Indonesia"
"Ashanty","http://id.dbpedia.org/resource/Pop","Jakarta,"
"Andre Hehanussa","http://id.dbpedia.org/resource/Pop","Ujungpandang, Sulawesi Selatan, Indonesia"
"Andre Hehanussa","http://id.dbpedia.org/resource/Gospel","Ujungpandang, Sulawesi Selatan, Indonesia"
"Elly Kasim","http://id.dbpedia.org/resource/Folk","Tanjung Mutiara, Kabupaten Agam, Sumatera Barat, Masa Pendudukan Jepang, Indonesia"
"Rio Silaen","pop, R&B, jazz, broadway, funk","Indonesia"
"Herty Sitorus","pop, dangdut, folk","Indonesia"
"Nada Soraya","dangdut","Bogor, Jawa Barat, Indonesia"
"Rangga Dewamoela","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Belanda"
"Rangga Dewamoela","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Voorburg"
"Sandro Tobing","pop","Indonesia"
"Widy Soediro Nichlany","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Silva R. Kavadia","http://id.dbpedia.org/resource/Pop","Palembang, Indonesia"
"Tiar Ramon","Melayu, Minang","Padang Pariaman, Hindia Belanda"
"Raisa","http://id.dbpedia.org/resource/Blues","Indonesia"
"Raisa","http://id.dbpedia.org/resource/Jazz","Indonesia"
"Raisa","http://id.dbpedia.org/resource/Soul","Indonesia"
"Mutya Lorenza","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Mutya Lorenza","http://id.dbpedia.org/resource/Akustik","Jakarta, Indonesia"
"Ronni Waluya","http://id.dbpedia.org/resource/Jazz","Indonesia"
"Ronni Waluya","http://id.dbpedia.org/resource/Musik_Pop","Indonesia"
"Diah Iskandar","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Diah Iskandar","http://id.dbpedia.org/resource/Folk","Jakarta, DKI Jakarta, Indonesia"
"Helena Andrian","Pop","Jakarta, Indonesia"
"Dhisa","http://id.dbpedia.org/resource/Jazz","Denpasar, Bali, Indonesia"
"Dhisa","http://id.dbpedia.org/resource/Pop","Denpasar, Bali, Indonesia"
"Natly (7 Icons)","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur"
"Vani Lauw","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur"
"Annie Ibon","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Annie Ibon","http://id.dbpedia.org/resource/Pop_Sunda","Bandung, Jawa Barat, Indonesia"
"Alam (penyanyi)","http://id.dbpedia.org/resource/Dangdut_metal","Tasikmalaya, Indonesia"
"Adhitia Sofyan","http://id.dbpedia.org/resource/Akustik","Bandung, Indonesia"
"A.Tee (7 Icons)","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur, Indonesia"
"A.Tee (7 Icons)","http://id.dbpedia.org/resource/Hip_hop","Surabaya, Jawa Timur, Indonesia"
"A.Tee (7 Icons)","http://id.dbpedia.org/resource/Dance_pop","Surabaya, Jawa Timur, Indonesia"
"Pj (7 Icons)","http://id.dbpedia.org/resource/Electropop","Surabaya, Jawa Timur, Indonesia."
"Pj (7 Icons)","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur, Indonesia."
"Pj (7 Icons)","http://id.dbpedia.org/resource/Electronica","Surabaya, Jawa Timur, Indonesia."
"Muhammad Reza Anugrah","http://id.dbpedia.org/resource/Rap","http://id.dbpedia.org/resource/Indonesia"
"Muhammad Reza Anugrah","http://id.dbpedia.org/resource/Rap","http://id.dbpedia.org/resource/Sulawesi_Tenggara"
"Muhammad Reza Anugrah","http://id.dbpedia.org/resource/Rap","http://id.dbpedia.org/resource/Kendari"
"Dicky Muhammad Prasetya","http://id.dbpedia.org/resource/Pop","bandung"
"Mezty (7 Icons)","http://id.dbpedia.org/resource/Pop","Kota Bandung, Jawa Barat, Indonesia"
"Gc (7 Icons)","http://id.dbpedia.org/resource/Pop","Kota Malang, Jawa Timur, Indonesia"
"Inarovi","http://id.dbpedia.org/resource/Pop","Surabaya, Indonesia"
"Sandy Thema","http://id.dbpedia.org/resource/Pop","Indonesia"
"Gamaliel Tapiheru","http://id.dbpedia.org/resource/R&B","Indonesia"
"Gamaliel Tapiheru","http://id.dbpedia.org/resource/Pop","Indonesia"
"Agnitya Nursriani Sigit","pop, disco, rock, broadway","Indonesia"
"Farah Di","Jazz","California, AS"
"Linzy (7 Icons)","http://id.dbpedia.org/resource/Pop","Singkawang, Kalimantan Barat, Indonesia"
"Mizta D","http://id.dbpedia.org/resource/Rap","Bandung, Jawa Barat, Indonesia"
"Mizta D","http://id.dbpedia.org/resource/Hip_hop","Bandung, Jawa Barat, Indonesia"
"Anggara Mulia","http://id.dbpedia.org/resource/Rap","Jakarta, Indonesia"
"Anggara Mulia","http://id.dbpedia.org/resource/Musik_Pop","Jakarta, Indonesia"
"Yuki Arifin Martawidjaja","Rock, Pop, Metal","Indonesia"
"Tantri Syalindri Ichlasari","Rock","Tangerang, Jawa Barat, Indonesia"
"Emmy Labib","http://id.dbpedia.org/resource/Pop","Banjarmasin, Kalimantan Selatan, Indonesia"
"Richie Setiawan","Rock","Tangerang, Jawa Barat, Indonesia"
"Antonius Nicky Riyant","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Muntok"
"Iras Angga Akbar","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Iras Angga Akbar","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jakarta"
"Budi Rusmana","http://id.dbpedia.org/resource/Rap","http://id.dbpedia.org/resource/Indonesia"
"Budi Rusmana","http://id.dbpedia.org/resource/Rap","http://id.dbpedia.org/resource/Jakarta"
"Budi Rusmana","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
